PK_LOCALIDADE;CODIGO_REGIAO;_NOME_REGIAO;CIDADE;PAIS;ESTADO;CEP
aa1e095d7eca8b9bc81b6c3495d21f8d6c47cdcb5cc60e82d6595769eae84164;1;Western;Bozeman;US;MT;59715
23844f6eb0074439a7e0e7f2df355c19c1c97e5d2a8571a46ce95abccfca4d0e;5;International;2215 TC Voorhout;IR;"";\"\"
8283228761a5ff59599aefa8c1c713e3d80471b108d0bd0c4dacb92ba075b8d9;0;Canada;Anjou;CA;QU;H1V 1R4
fa88234aa41e61b6356b81545d4279b81b21eeb19afdab4dfc2c903fbae375da;4;Central;Eau Claire;US;WI;54701
2bd296d0326875980e93766427364c8519e6ec1bbfa300e73e8a1078be850337;1;Western;Casper;US;WY;82601
3943584782bd80a53b9e8e0430225cc771d1c665153227d27667176683c804aa;1;Western;Spokane;US;WA;99213-3056
547b8a5c4fcec22f29dc4c7d15c62015a675aa91dfc1461f7dc9ac6b04f368d1;1;Western;Brea;US;CA;92621
5463d54cdfe2f6f27d4e888b7c0baf673463232af17f2fed4658631cbe4db87b;2;Southern;Orlando;US;FL;32808
0207beab38e063a3f19270aafbfb18f3602f5b391d560e17e46b40c747541dd8;1;Western;Ft Collins;US;CO;80524
951e7b5fa843adeacaa98e745c03c8b1975f52f7b8c5a31315be4b3383d31f0c;5;International;Seoul;AU;"";110-793
533154935eb5cd63ce9218e1f66f8d58c5812a4ebca7fc49b59cf6e6a8187246;2;Southern;Tampa;US;FL;33619
890df0fa1a04f6c639ae8655dccdd651fbe7da0f57773ebb1d6f39ef90d22859;2;Southern;Johnson City;US;TN;37602-5418
d5356951ccfcf29ed268d5907cd7334fc5c8a0abf3d01996bdcc1d0f21cd9253;3;Northeast;North Hampton;US;NH;3862
4670ec16ff81232210ee77f6a22322dcd3ca88cdbabc7e4fd90164775dd5206a;1;Western;Salt Lake City;US;UT;84115
ec31cac35a24ece54ea8118b541e0edd2bfc645adb4fd1cb3cae6b83c48aa841;4;Central;Joliet;US;IL;60432
1637d28eb932f6343169395285485546c3a0b0dd45563dfae246d1d7795a8219;4;Central;Ham Lake;US;MN;55304
8099d26d10883080d7aca1df7e9ebb4e7bdb71690e12496a88bb552e59f01f53;1;Western;West Jordan;US;UT;84084
45f7c5bc63670c44d8551c5497d7e7f4603940221ebdecf257d40da5efca6b2e;1;Western;Sacramento;US;CA;95851-1297
